,street_name,Latitude,Longitude
528,SENGKANG EAST AVE,1.389954,103.8848358
529,YISHUN AVE 1,1.4249121,103.857826
530,ANCHORVALE CRES,1.3964871,103.8929513
531,YUNG KUANG RD,1.3314268,103.7235226
532,ANCHORVALE ST,1.3966654,103.89237
533,TAMPINES CENTRAL 8,1.35603,103.9403133
534,YISHUN ST 51,1.4165474,103.8399968
535,UPPER SERANGOON VIEW,1.3738348,103.9021499
536,TAMPINES AVE 1,1.3481655,103.9301186
537,BEDOK RESERVOIR CRES,1.3369521,103.9208651
538,ANG MO KIO ST 61,1.3821791,103.840551
539,DAWSON RD,1.2925703,103.810316
540,FERNVALE ST,1.3984982,103.8774636
